"category","internationalTitle","localTitle","isNewEntry","isPromoted","openingHours","holiday","price","maxPrice","minPrice","address","url","telephone","properties","rating","ammenityScore","ammenityDescription","latitude","longitude","mapUri"
"Japanese","Sakanaryori Akai","魚菜料理 赤井","False","False","Lunch = 11:30-13:00 (L.O.)Dinner = 17:00-22:30 (L.O.)","Closed Sunday and Public Holidays","Lunch = ¥2,500Dinner = ¥5,000-8,000","8000","2500","1F, Wakatsuki Bldg, 4-13-16 Ginza, Chuo-ku, Tokyo","null","03-3248-4567","Cash only at lunch, Counter restaurant, Reservation required, Late dining","Bib Gourmand","1","Quiet comfortable","35.669444953708336","139.76858016625306","https://maps.google.com/maps?q=35.669444953708336%2C139.76858016625306%281F%2C%20Wakatsuki%20Bldg%2C%204-13-16%20Ginza%2C%20Chuo-ku%2C%20Tokyo%29&ll=35.669444953708336%2c139.76858016625306&hl=en"
"French","Äta","アタ","False","False","Dinner = 17:00-2:00","Closed Sunday","Dinner = ¥4,500-6,000","6000","4500","2-5 Sarugakucho, Shibuya-ku, Tokyo","http://www.ata1789.com/","03-6809-0965","Completely no smoking area, Reservation required, Late dining, Interesting wine list","Bib Gourmand","1","Quiet comfortable","35.653012","139.70479","https://maps.google.com/maps?q=35.653012%2C139.70479%282-5%20Sarugakucho%2C%20Shibuya-ku%2C%20Tokyo%29&ll=35.653012%2c139.70479&hl=en"
"Japanese","Adachi Naoto","安達直人","False","False","Dinner = 18:00-23:30Saturday 18:00-22:00","Closed Sunday and Public Holidays","Dinner = ¥16,000-21,000","21000","16000","2F, Ishiikishuya Bldg, 7-6-5 Ginza, Chuo-ku, Tokyo","http://www.ginza-adachi.jp/","03-3572-7088","Completely no smoking area, Reservation required, Late dining","one star","2","Comfortable","35.66970224090576","139.76198926810548","https://maps.google.com/maps?q=35.66970224090576%2C139.76198926810548%282F%2C%20Ishiikishuya%20Bldg%2C%207-6-5%20Ginza%2C%20Chuo-ku%2C%20Tokyo%29&ll=35.66970224090576%2c139.76198926810548&hl=en"
"Tempura","Tempura Abe Honten","てんぷら 阿部 本店","False","False","Lunch = 11:30-14:00weekends 11:30-15:00Dinner = 17:00-21:00","null","Lunch = ¥1,000-8,000Dinner = ¥4,500-9,000","9000","1000","B1F, Subaru Bldg, 4-3-7 Ginza, Chuo-ku, Tokyo","null","03-6228-6077","Completely no smoking area, Counter restaurant, Open Sunday","Bib Gourmand","1","Quiet comfortable","35.67206709","139.7644955","https://maps.google.com/maps?q=35.67206709%2C139.7644955%28B1F%2C%20Subaru%20Bldg%2C%204-3-7%20Ginza%2C%20Chuo-ku%2C%20Tokyo%29&ll=35.67206709%2c139.7644955&hl=en"
"Okonomiyaki","Amanoya","天のや","False","False","Dinner = 18:30-22:00","Closed Tuesday","Dinner = ¥2,000-4,000","4000","2000","3-1-9 Azabujuban, Minato-ku, Tokyo","http://www.amano-ya.jp/","03-5484-8117","Cash only, Completely no smoking area, Reservation required, Open Sunday","Bib Gourmand","1","Quiet comfortable","35.65322703","139.736327","https://maps.google.com/maps?q=35.65322703%2C139.736327%283-1-9%20Azabujuban%2C%20Minato-ku%2C%20Tokyo%29&ll=35.65322703%2c139.736327&hl=en"
"French","Amour","アムール","False","False","Lunch = 12:00-15:30 L.O.13:00Dinner = 18:00-23:00 L.O.20:30","Closed Wednesday (unless Public Holiday, then Thursday)","Lunch = ¥6,000-15,000Dinner = ¥12,000-24,000","24000","6000","1-6-13 Hiroo, Shibuya-ku, Tokyo","http://amourtokyojapan.com/","03-3409-1331","Completely no smoking area, Private room with maximum capacity 8, Reservation required, Open Sunday, Interesting wine list","one star","3","Very comfortable","35.64872415","139.7140731","https://maps.google.com/maps?q=35.64872415%2C139.7140731%281-6-13%20Hiroo%2C%20Shibuya-ku%2C%20Tokyo%29&ll=35.64872415%2c139.7140731&hl=en"
"French","Les Alchimistes","アルシミスト","False","False","Lunch = Friday-Tuesday 12:00-15:00 L.O.13:00Dinner = 18:00-23:30 L.O.20:30","Closed Wednesday","Lunch = ¥5,500-9,000Dinner = ¥12,000-22,000","22000","5500","1F, Filage Shirokane, 1-25-26 Shirokane, Minato-ku, Tokyo","http://www.alchimiste.jp/","03-5422-7358","Completely no smoking area, Reservation required, Open Sunday","one star","2","Comfortable","35.643905000000000","139.731385000000000","https://maps.google.com/maps?q=35.643905000000000%2C139.731385000000000%281F%2C%20Filage%20Shirokane%2C%201-25-26%20Shirokane%2C%20Minato-ku%2C%20Tokyo%29&ll=35.643905000000000%2c139.731385000000000&hl=en"
"Italian","Aroma Fresca","アロマフレスカ","False","False","Lunch = Wednesday-Saturday 11:30-15:00 L.O.13:00Dinner = 17:30-23:00 L.O.20:30","Closed Sunday and 1st Monday","Lunch = ¥11,000Dinner = ¥17,000-22,000","22000","11000","12F, Ginza Trecious, 2-6-5 Ginza, Chuo-ku, Tokyo","http://www.aromafresca-afsa.com/","03-3535-6667","Completely no smoking area, Reservation required, Interesting wine list","one star","3.5","Very comfortable (more pleasant if in red)","35.673665000000000","139.767142000000000","https://maps.google.com/maps?q=35.673665000000000%2C139.767142000000000%2812F%2C%20Ginza%20Trecious%2C%202-6-5%20Ginza%2C%20Chuo-ku%2C%20Tokyo%29&ll=35.673665000000000%2c139.767142000000000&hl=en"
"Unagi","Unagi Anzai","うなぎ安斎","False","False","Lunch = 11:30-14:00 L.O.13:30Dinner = 17:30-20:00 L.O.19:30","Closed Wednesday and Thursday","Lunch = ¥3,500-7,000Dinner = ¥3,500-7,000","7000","3500","4-12-16 Ogikubo, Suginami-ku, Tokyo","null","03-3392-7234","Reservation required, Open Sunday","Bib Gourmand","1","Quiet comfortable","35.70185492","139.6204822","https://maps.google.com/maps?q=35.70185492%2C139.6204822%284-12-16%20Ogikubo%2C%20Suginami-ku%2C%20Tokyo%29&ll=35.70185492%2c139.6204822&hl=en"
"Italian","Antica Braceria Bell'Italia","アンティカ ブラチェリア ベッリターリア","False","False","Lunch = Monday-Friday 11:30-15:00 L.O.14:00Dinner = 18:00-23:00","Closed Sunday","Lunch = ¥1,000-5,500Dinner = ¥5,000-7,000","7000","1000","3-4-3 Shimomeguro, Meguro-ku, Tokyo","null","03-6412-8251","Completely no smoking area, Reservation required","Bib Gourmand","1","Quiet comfortable","35.63085861","139.7094414","https://maps.google.com/maps?q=35.63085861%2C139.7094414%283-4-3%20Shimomeguro%2C%20Meguro-ku%2C%20Tokyo%29&ll=35.63085861%2c139.7094414&hl=en"
